HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0037	en	es	ad	15	2138	"Wed Nov 23 13:07:08 2016"	"Wed Nov 23 13:42:46 2016"	Submitted
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0006	en	es	ad	15	2276	"Wed Nov 23 06:49:49 2016"	"Wed Nov 23 07:27:45 2016"	Rejected
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0040	en	es	ad	15	4867	"Wed Nov 23 09:54:10 2016"	"Wed Nov 23 11:15:17 2016"	Submitted
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0039	en	es	ad	15	1698	"Wed Nov 23 10:54:35 2016"	"Wed Nov 23 11:22:53 2016"	Submitted
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0025	en	es	ad	15	875	"Wed Nov 23 07:53:43 2016"	"Wed Nov 23 08:08:18 2016"	Rejected
3XWUWJ18TLMFS66RAB0AY7BSZ1SUUY	F0045	en	es	ad	0	4843	"Thu Nov 24 03:31:22 2016"	"Thu Nov 24 04:52:05 2016"	Submitted
38G0E1M85M1F5LVRF1AFUTDBD81UVN	F0024	en	es	ad	1	2394	"Thu Nov 24 04:42:37 2016"	"Thu Nov 24 05:22:31 2016"	Submitted
3JYPJ2TAYI4DHJ15Y06H21NQHXLPFY	F0028	en	es	ad	2	2328	"Thu Nov 24 06:09:51 2016"	"Thu Nov 24 06:48:39 2016"	Submitted
336OE47KI2GSXPKWA1PGCHY8YOCWVO	F0027	en	es	ad	3	1489	"Thu Nov 24 04:42:14 2016"	"Thu Nov 24 05:07:03 2016"	Submitted
3YLTXLH3DF2XVFSBTQUH5MZ3XCYPHW	F0037	en	es	ad	4	4662	"Thu Nov 24 04:29:42 2016"	"Thu Nov 24 05:47:24 2016"	Submitted
338431Z1FLBSZ9UDAVTWUQWJAG0ROE	F0037	en	es	ad	5	2434	"Thu Nov 24 03:25:18 2016"	"Thu Nov 24 04:05:52 2016"	Submitted
34OWYT6U3WDCZNNOIJG5J803SLW9IF	F0027	en	es	ad	6	2256	"Thu Nov 24 04:04:24 2016"	"Thu Nov 24 04:42:00 2016"	Submitted
3FHTJGYT8NWJVJX09KCZKMN2ICLPGX	F0037	en	es	ad	7	4445	"Thu Nov 24 05:47:29 2016"	"Thu Nov 24 07:01:34 2016"	Submitted
3VO4XFFP15IL22NEGUNUEE0JO5P7Q4	F0020	en	es	ad	8	1024	"Thu Nov 24 02:19:50 2016"	"Thu Nov 24 02:36:54 2016"	Submitted
36D1BWBEHNXNVMSGIPZI1EZ63O62MW	F0000	en	es	ad	9	3172	"Thu Nov 24 04:34:45 2016"	"Thu Nov 24 05:27:37 2016"	Submitted
3SMIWMMK611SKAVW5BFBGVWPKH3UWX	F0039	en	es	ad	10	1041	"Thu Nov 24 05:02:38 2016"	"Thu Nov 24 05:19:59 2016"	Submitted
3NC6WP7WJHG5CEK10BUCYJHM5XEWWY	F0031	en	es	ad	11	1673	"Thu Nov 24 04:38:22 2016"	"Thu Nov 24 05:06:15 2016"	Submitted
3Y40HMYLL1E79A0MFGBXIEAWTJ9UXQ	F0038	en	es	ad	12	1378	"Thu Nov 24 05:05:16 2016"	"Thu Nov 24 05:28:14 2016"	Submitted
3TUOHPJXYHTK1EPRAGQY02VTEZKWXR	F0024	en	es	ad	13	2779	"Thu Nov 24 03:55:36 2016"	"Thu Nov 24 04:41:55 2016"	Submitted
3421H3BM9AD8UY7U0115V9F350L9JR	F0039	en	es	ad	14	616	"Thu Nov 24 05:02:34 2016"	"Thu Nov 24 05:12:50 2016"	Submitted
3GMLHYZ0LETW9FQWKCXZ1SH5VP3UYW	F0027	en	es	ad	15	938	"Thu Nov 24 05:07:16 2016"	"Thu Nov 24 05:22:54 2016"	Submitted
